cell,easting_mean,northing_mean,cluster,years_available,log_traffic_mean,log_traffic_max,traffic_year_cv,point_cv_mean,log_link_length_km,log_count_points,road_category_n,year_coverage_frac,traffic_trend_pct_per_year
6519,393830.45,812163.3375,0,10,9.573397158568028,10.462560335928407,0.0333026118480945,0.6696535835818446,2.9856819377004893,2.1972245773362196,4,1.0,0.006581807199843422
6567,77100.0,820500.0,0,10,6.959778307049289,7.062191632286556,0.05975699419966162,0.0,1.7404661748405046,0.6931471805599453,1,1.0,0.017806341637584235
6576,164575.125,824279.25,0,10,8.04670144305975,8.684570300824369,0.06274752621892711,0.6383319003044182,3.655839600035736,1.6094379124341003,2,1.0,0.01770109035979827
6577,177950.0,827505.0,1,10,8.139542646802663,8.549660381553739,0.1975431906513909,0.0705787229236112,2.5095992623783716,1.0986122886681098,1,1.0,0.05239341626459031
6579,190000.0,823900.0,0,10,7.697166729512147,7.773594467360194,0.04262284263424816,0.0,2.884800712846709,0.6931471805599453,1,1.0,0.01090639253376045
6585,251300.0,826100.0,0,10,8.123765343918576,8.227375506834035,0.05265145355081004,0.0,3.068052935133617,0.6931471805599453,1,1.0,0.014194184858637375
6588,289895.0,823163.0,0,10,7.746819334442237,7.819636302367592,0.049828286153048455,0.0,1.5260563034950492,0.6931471805599453,1,1.0,0.015599536782313631
6589,293724.8083333333,823159.4833333334,0,10,8.16015389539506,9.00601857490256,0.08307750684964536,0.891067132705909,3.1232455938529506,1.5260563034950492,2,1.0,0.01520396627215996
6590,302082.14285714284,825384.2857142857,0,10,8.189605371228554,8.821879862683842,0.050177252843944906,0.5226391156691421,3.7256934272366524,2.0794415416798357,3,1.0,0.0010298855481094338
6591,310000.0,820200.0,0,10,6.73268735089949,6.838405200847344,0.11287876217679835,0.0,2.631888840136646,0.6931471805599453,1,1.0,0.03357043719639109
6592,321813.6,829695.0,1,10,6.19766537769188,6.738152494595957,0.27437135600963314,0.0,0.0,0.6931471805599453,1,1.0,-0.003384847249501264
